Product ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
As82m ; 9.26556E-4 ; 5.92996E-4 ; 0.00150712 ; 9.64557E-4
As83 ; 0.0029323 ; 0.00187667 ; 0.00351957 ; 0.00225252
As84 ; 0.00133628 ; 8.5522E-4 ; 0.00183434 ; 0.00117398
As84m ; 0.00133628 ; 8.5522E-4 ; 0.00183434 ; 0.00117398
As85 ; 0.00200804 ; 0.00128515 ; 0.00266967 ; 0.00170859
As86 ; 5.57838E-4 ; 3.57016E-4 ; 9.7447E-4 ; 6.23661E-4
As87 ; 1.67668E-4 ; 1.07308E-4 ; 3.159E-4 ; 2.02176E-4
As88 ; 2.16111E-5 ; 1.38311E-5 ; 4.729E-5 ; 3.02656E-5
As89 ; 2.35005E-6 ; 1.50403E-6 ; 6.79792E-6 ; 4.35067E-6
As90 ; 1.59402E-7 ; 1.02017E-7 ; 6.34837E-7 ; 4.06296E-7
As91 ; 1.63851E-8 ; 1.04865E-8 ; 6.91094E-9 ; 4.423E-9
As92 ; 4.39974E-11 ; 2.81584E-11 ; 6.52496E-10 ; 4.17597E-10
As93 ; 1.49188E-12 ; 9.54805E-13 ; 8.17188E-11 ; 5.23E-11
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0 ; 4.04E-14 ; 2.5856E-14
Se75 ; 1.60008E-14 ; 1.02405E-14 ; 2.34E-12 ; 1.4976E-12
Se76 ; 3.86019E-12 ; 2.47052E-12 ; 9.59E-11 ; 6.1376E-11
Se77 ; 4.21021E-11 ; 2.69453E-11 ; 3.12E-10 ; 1.9968E-10
Se77m ; 3.08015E-10 ; 1.9713E-10 ; 3.58E-9 ; 2.2912E-9
Se78 ; 1.42007E-8 ; 9.08845E-9 ; 1.04E-7 ; 6.656E-8
Se79 ; 3.69018E-7 ; 2.36172E-7 ; 1.5E-6 ; 9.6E-7
Se79m ; 5.03025E-8 ; 3.21936E-8 ; 1.13E-7 ; 7.232E-8
Se80 ; 7.65038E-6 ; 4.89624E-6 ; 1.647E-5 ; 1.05408E-5
