Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; (E=2 MeV) ; (E=2 MeV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Zn86 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.37323E-12 ; 8.78866E-13
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.02476E-14 ; 1.29585E-14
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 6.62557E-13 ; 4.24037E-13
Ga68 ; 2.02997E-14 ; 1.29918E-14 ; 2.43983E-14 ; 1.56149E-14 ; 2.43967E-14 ; 1.56138E-14 ; 2.22523E-11 ; 1.42415E-11
Ga69 ; 1.78998E-12 ; 1.14559E-12 ; 2.53983E-12 ; 1.62549E-12 ; 2.53968E-12 ; 1.62538E-12 ; 4.19987E-10 ; 2.68792E-10
Ga70 ; 7.7699E-11 ; 4.97274E-11 ; 1.08992E-10 ; 6.97553E-11 ; 1.08999E-10 ; 6.97506E-11 ; 6.154434E-9 ; 3.938853E-9
Ga71 ; 1.35998E-9 ; 8.70389E-10 ; 3.109801E-9 ; 1.99025E-9 ; 3.114218E-9 ; 1.990116E-9 ; 6.846001E-8 ; 4.381313E-8
Ga72 ; 1.19499E-8 ; 7.647909E-9 ; 2.589777E-8 ; 1.657434E-8 ; 2.601712E-8 ; 1.657322E-8 ; 2.736217E-7 ; 1.750966E-7
Ga72m ; 1.19499E-8 ; 7.647909E-9 ; 2.589777E-8 ; 1.657434E-8 ; 2.601712E-8 ; 1.657322E-8 ; 2.736217E-7 ; 1.750966E-7
Ga73 ; 2.20997E-7 ; 1.41438E-7 ; 3.458302E-7 ; 2.208391E-7 ; 3.589065E-7 ; 2.208242E-7 ; 3.065941E-6 ; 1.946075E-6
Ga74 ; 6.19992E-7 ; 3.96795E-7 ; 1.169267E-6 ; 7.455703E-7 ; 1.217936E-6 ; 7.455203E-7 ; 5.838625E-6 ; 3.693413E-6
Ga74m ; 6.19992E-7 ; 3.96795E-7 ; 1.169267E-6 ; 7.455703E-7 ; 1.217936E-6 ; 7.455203E-7 ; 5.838625E-6 ; 3.693413E-6
Ga75 ; 5.82993E-6 ; 3.73115E-6 ; 8.618215E-6 ; 4.776273E-6 ; 1.060887E-5 ; 4.775953E-6 ; 3.749406E-5 ; 1.939039E-5
Ga76 ; 1.53998E-5 ; 9.855879E-6 ; 2.79788E-5 ; 1.156837E-5 ; 3.794158E-5 ; 1.156762E-5 ; 8.385037E-5 ; 3.083412E-5
Ga77 ; 3.78495E-5 ; 2.42237E-5 ; 6.975445E-5 ; 2.138954E-5 ; 9.662834E-5 ; 2.138824E-5 ; 1.292678E-4 ; 3.96081E-5
Ga78 ; 5.51193E-5 ; 3.52764E-5 ; 8.155191E-5 ; 4.433964E-5 ; 9.791987E-5 ; 4.433669E-5 ; 1.841036E-4 ; 8.254316E-5
Ga79 ; 5.49293E-5 ; 3.51548E-5 ; 1.165753E-4 ; 6.959441E-5 ; 1.354475E-4 ; 6.958973E-5 ; 2.377045E-4 ; 1.259604E-4
Ga80 ; 3.62596E-5 ; 2.32061E-5 ; 5.639994E-5 ; 3.598426E-5 ; 5.782391E-5 ; 3.598184E-5 ; 2.014644E-4 ; 1.250376E-4
Ga81 ; 1.51098E-5 ; 9.670279E-6 ; 2.275277E-5 ; 1.456173E-5 ; 2.291706E-5 ; 1.456074E-5 ; 1.227711E-4 ; 7.833915E-5
Ga82 ; 2.01998E-6 ; 1.29278E-6 ; 4.619407E-6 ; 2.956578E-6 ; 4.625215E-6 ; 2.956379E-6 ; 3.962433E-5 ; 2.538637E-5
Ga83 ; 2.28997E-7 ; 1.46558E-7 ; 6.119534E-7 ; 3.916527E-7 ; 6.11986E-7 ; 3.916264E-7 ; 9.394069E-6 ; 6.023724E-6
Ga84 ; 1.34998E-8 ; 8.639889E-9 ; 4.509687E-8 ; 2.8862E-8 ; 4.509396E-8 ; 2.886005E-8 ; 1.66355E-6 ; 1.064903E-6
Ga85 ; 2.85976E-10 ; 1.83025E-10 ; 1.979708E-9 ; 1.267015E-9 ; 1.979575E-9 ; 1.266929E-9 ; 1.702349E-7 ; 1.089561E-7
Ga86 ; 1.17999E-11 ; 7.55191E-12 ; 4.43969E-11 ; 2.8414E-11 ; 4.43939E-11 ; 2.84121E-11 ; 7.898539E-9 ; 5.055082E-9
Ga87 ; 4.48879E-13 ; 2.87283E-13 ; 1.22144E-12 ; 7.81717E-13 ; 1.22135E-12 ; 7.81665E-13 ; 3.06971E-10 ; 1.96462E-10
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3.81898E-13 ; 2.44415E-13
