Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Cd129 ,0.0000000656
Cd130 ,0.00000000841
Cd131 ,0.00000371989
Cd132 ,0.000000224994
Cd133 ,0.0000000178587
Cd134 ,5.99E-11
Cd135 ,1.71987E-12
Cd136 ,0
In107 ,0
In109 ,0
In111 ,0
In112 ,0
In112m ,0
In113 ,0
In113m ,0
In114 ,0
In114m ,0
In115 ,0
In115m ,0
In116 ,1.58E-13
In116m ,1.58E-13
In116n ,1.58E-13
In117 ,4.21E-11
In117m ,9.88E-12
In118 ,0.00000000235
In118m ,3.92E-10
In118n ,3.92E-10
In119 ,0.0000000913
In119m ,0.0000000214
In120 ,0.000000424
In120m ,0.000000424
In120n ,0.000000424
In121 ,0.00000628
In121m ,0.00000147
In122 ,0.00001052
In122m ,0.00001052
In122n ,0.00001052
In123 ,0.00009562
In123m ,0.00002243
In124 ,0.00010994
In124m ,0.00010994
In125 ,0.00018249
In125m ,0.00018249
In126 ,0.00026738
In126m ,0.00026738
In127 ,0.00030803
In127m ,0.00030803
In128 ,0.000275615
In128m ,0.000275615
In129 ,0.00025036
In129m ,0.00025036
In130 ,0.0000847033
In130m ,0.0000847033
In130n ,0.0000847033
In131 ,0.000384495
In131m ,0.000384495
In132 ,0.00015116
In133 ,0.0000166021
In134 ,0.000000667
In135 ,0.000000037763
In136 ,1.64E-10
In137 ,2.10361E-12
Sn111 ,0
Sn112 ,0
Sn113 ,0
Sn113m ,0
Sn114 ,0
Sn115 ,0
Sn116 ,0
Sn117 ,0
Sn117m ,0
Sn118 ,2.45E-13
Sn119 ,7.58E-12
Sn119m ,2.54E-11
Sn120 ,0.00000000182
Sn121 ,0.0000000114
Sn121m ,0.000000028
Sn122 ,0.00000073
Sn123 ,0.00000622
Sn123m ,0.00000254
Sn124 ,0.00006499
Sn125 ,0.00013054
Sn125m ,0.00005332
Sn126 ,0.00064545
Sn127 ,0.00103393
Sn127m ,0.00042231
Sn128 ,0.00175827
Sn128m ,0.00175827
Sn129 ,0.0052302
Sn129m ,0.00213496
Sn130 ,0.00676002
Sn130m ,0.00676002
Sn131 ,0.00662285
Sn131m ,0.00662285
Sn132 ,0.0101102
Sn133 ,0.00353493
Sn134 ,0.00064604
Sn135 ,0.0000524422
Sn136 ,0.00000252
Sn137 ,0.0000000689979
Sn138 ,0.00000000128
Sn139 ,1.27517E-11
Sn140 ,1.12584E-12
Sb113 ,0
Sb115 ,0
Sb117 ,0
Sb118 ,0
Sb118m ,0
Sb119 ,0
Sb120 ,2.22E-14
Sb120m ,3.2E-14
Sb121 ,5.88E-12
Sb122 ,1.88E-10
Sb122m ,2.12E-10
Sb123 ,0.0000000229
Sb124 ,0.000000195333
Sb124m ,0.000000195333
Sb124n ,0.000000195333
Sb125 ,0.000000161
Sb126 ,0.000000556
Sb126m ,0.0000004735
Sb126n ,0.0000004735
Sb127 ,0.00001293
Sb128 ,0.00003043
Sb128m ,0.00005181
Sb129 ,0.00057753
Sb130 ,0.00093618
Sb130m ,0.001594
Sb131 ,0.0110946
Sb132 ,0.0126555
Sb132m ,0.0091643
Sb133 ,0.0280043
Sb134 ,0.00776327
Sb134m ,0.00776327
Sb135 ,0.00526546
Sb136 ,0.00083149
Sb137 ,0.00009667
Sb138 ,0.00000568
Sb139 ,0.000000279987
Sb140 ,0.0000000209956
Sb141 ,2.28579E-11
Sb142 ,2.0301E-12
Sb143 ,9.30819E-13
Te115 ,0
Te117 ,0
Te118 ,0
Te119 ,0
Te120 ,0
Te121 ,0
Te121m ,0
Te122 ,1.88E-14
Te123 ,9.3E-13
Te123m ,3.11E-12
Te124 ,5.08E-10
Te125 ,2.47E-14
Te125m ,8.28E-14
Te126 ,4.06E-12
Te127 ,3.56E-11
Te127m ,8.72E-11
Te128 ,0.0000000036
Te129 ,0.0000000268
Te129m ,0.0000000656
Te130 ,0.00000204
Te131 ,0.00030621
Te131m ,0.00074968
Te132 ,0.00754129
Te133 ,0.00748159
Te133m ,0.0183166
Te134 ,0.0510263
Te135 ,0.0472921
Te136 ,0.0288303
Te137 ,0.0097613
Te138 ,0.00226132
Te139 ,0.00032057
Te140 ,0.000034329
Te141 ,0.000000749732
Te142 ,0.000000078398
Te143 ,0.0000000305306
Te144 ,1.02882E-11
Te145 ,8.41585E-13
I121 ,0
I123 ,0
I125 ,0
I126 ,0
I127 ,0
I128 ,0
I129 ,0
I130 ,2.66E-13
I130m ,1.14E-13
I131 ,0.00000363
I132 ,0.00004053
I132m ,0.00004053
I133 ,0.00056242
I133m ,0.00056242
I134 ,0.00380161
I134m ,0.0027535
I135 ,0.0216482
I136 ,0.0173225
I136m ,0.0171934
I137 ,0.0397494
I138 ,0.0240562
I139 ,0.0118462
I140 ,0.00336631
I141 ,0.00069698
I142 ,0.00008147
I143 ,0.0000283825
I144 ,0.000000191864
I145 ,0.0000000184785
I146 ,3.4957E-11
I147 ,1.91432E-12
I148 ,2.04563E-14
Xe124 ,0
Xe125 ,0
Xe125m ,0
Xe126 ,0
Xe127 ,0
