Product , High (14 MeV) 
Product ,  
Product , Yield 
Pd99 ,0
Pd101 ,0
Pd102 ,1.48E-13
Pd103 ,5.11E-12
Pd104 ,4.43E-11
Pd105 ,3.22E-10
Pd106 ,0.00000000469
Pd107 ,0.0000000139
Pd107m ,0.0000000524
Pd108 ,0.000000904
Pd109 ,0.00000154
Pd109m ,0.0000058
Pd110 ,0.00005539
Pd111 ,0.00005225
Pd111m ,0.00019656
Pd112 ,0.00101811
Pd113 ,0.00235642
Pd114 ,0.00472194
Pd115 ,0.00687582
Pd116 ,0.00671007
Pd117 ,0.00560509
Pd118 ,0.00343219
Pd119 ,0.001568
Pd120 ,0.00051539
Pd121 ,0.00015155
Pd122 ,0.00002554
Pd123 ,0.00000366
Pd124 ,0.000000342
Pd125 ,0.0000000226919
Pd126 ,0.00000000123
Pd127 ,1.46939E-10
Pd128 ,1.27E-11
Pd129 ,  
Pd130 ,0
Ag103 ,0
Ag105 ,0
Ag105m ,1.04E-14
Ag106 ,6.95E-14
Ag106m ,3.16E-13
Ag107 ,1.07E-12
Ag107m ,1.23E-11
Ag108 ,2.185E-10
Ag108m ,2.185E-10
Ag109 ,0.00000000432
Ag109m ,0.00000000432
Ag110 ,0.0000000282
Ag110m ,0.000000129
Ag111 ,0.000000134
Ag111m ,0.00000154
Ag112 ,0.00001647
Ag113 ,0.00000701
Ag113m ,0.00008063
Ag114 ,0.00040435
Ag115 ,0.00064889
Ag115m ,0.00064889
Ag116 ,0.00139176
Ag116m ,0.00139176
Ag117 ,0.0024756
Ag117m ,0.0024756
Ag118 ,0.00328853
Ag118m ,0.00328853
Ag119 ,0.00644788
Ag120 ,0.00236518
Ag120m ,0.00236518
Ag121 ,0.00310855
Ag122 ,0.000598525
Ag122m ,0.000598525
Ag123 ,0.00039939
Ag124 ,0.00009274
Ag125 ,0.00001553
Ag126 ,0.00000215
Ag127 ,0.000000324853
Ag128 ,0.0000000758
Ag129 ,0.0000000021086
Ag130 ,1.34E-10
Ag131 ,  
Ag132 ,  
Cd105 ,0
Cd106 ,0
Cd107 ,0
Cd108 ,1.86E-14
Cd109 ,9.06E-13
Cd110 ,4.05E-11
Cd111 ,1.48E-10
Cd111m ,9.09E-10
Cd112 ,0.0000000258
Cd113 ,0.0000000461
Cd113m ,0.000000283
Cd114 ,0.00000369
Cd115 ,0.00000386
Cd115m ,0.00002371
Cd116 ,0.00013814
Cd117 ,0.00007684
Cd117m ,0.00047202
Cd118 ,0.00162658
Cd119 ,0.00171043
Cd119m ,0.00171043
Cd120 ,0.00544388
Cd121 ,0.0038093
Cd121m ,0.0038093
Cd122 ,0.00632752
Cd123 ,0.00464468
Cd124 ,0.00253703
Cd125 ,0.00102367
Cd126 ,0.00034801
Cd127 ,0.00010391
Cd128 ,0.00004081
Cd129 ,0.00000592789
Cd130 ,0.000000479
Cd131 ,0.0000000221
Cd132 ,8.81E-10
Cd133 ,4.02839E-11
Cd134 ,1.62E-13
Cd136 ,0
In107 ,0
In109 ,0
In111 ,5.88E-14
In112 ,3.98E-13
In112m ,3.22E-12
In113 ,1.01E-10
In113m ,1.25E-11
In114 ,4.76E-10
In114m ,0.0000000027
In115 ,0.0000000511
In115m ,0.00000000631
In116 ,0.000000234667
In116m ,0.000000234667
In116n ,0.000000234667
In117 ,0.00000587
In117m ,0.000000725
In118 ,0.00003936
In118m ,0.000003475
In118n ,0.000003475
In119 ,0.00019658
In119m ,0.0000243
In120 ,0.000265367
In120m ,0.000265367
In120n ,0.000265367
In121 ,0.0021515
In121m ,0.00026592
In122 ,0.00214477
In122m ,0.0010724
In122n ,0.0010724
In123 ,0.00595185
In123m ,0.00073562
In124 ,0.00406543
In124m ,0.00406543
In125 ,0.00371499
In125m ,0.00371499
In126 ,0.0029289
In126m ,0.0029289
In127 ,0.00166147
In127m ,0.00166147
In128 ,0.00107096
In128m ,0.00107096
In129 ,0.0003806
In129m ,0.0003806
In130 ,0.00005234
In130m ,0.00005234
In130n ,0.00005234
In131 ,0.000009795
In131m ,0.000009795
In132 ,0.00000215
In133 ,0.0000000890597
In134 ,0.0000000032
In135 ,1.05963E-10
In136 ,1.11E-12
Sn111 ,0
Sn112 ,0
Sn113 ,0
Sn113m ,0
Sn114 ,2.43E-13
Sn115 ,1.08E-11
Sn116 ,3.32E-10
Sn117 ,0.000000003785
Sn117m ,0.000000003785
Sn118 ,0.000000131
Sn119 ,0.000000208
Sn119m ,0.00000128
Sn120 ,0.00001288
Sn121 ,0.0000162
Sn121m ,0.00007378
Sn122 ,0.00035947
Sn123 ,0.00101164
Sn123m ,0.00022207
Sn124 ,0.00337289
Sn125 ,0.00560538
Sn125m ,0.00123045
Sn126 ,0.0118895
Sn127 ,0.0100973
Sn127m ,0.00221647
Sn128 ,0.00628854
Sn128m ,0.00628854
Sn129 ,0.0084478
Sn129m ,0.00185358
Sn130 ,0.00256744
Sn130m ,0.00256744
Sn131 ,0.000830615
Sn131m ,0.000830615
Sn132 ,0.00048293
Sn133 ,0.00005666
Sn134 ,0.00000556
Sn135 ,0.000000297894
Sn136 ,0.0000000148
Sn137 ,3.11E-10
Sn138 ,6.5E-12
Sn139 ,  
Sb113 ,0
Sb115 ,0
Sb117 ,7.75E-13
Sb118 ,8.79E-12
Sb118m ,2.5E-11
Sb119 ,9.38E-10
Sb120 ,0.00000000524
Sb120m ,0.0000000149
Sb121 ,0.000000338
Sb122 ,0.00000096
Sb122m ,0.00000224
Sb123 ,0.00002562
Sb124 ,0.0000557933
Sb124m ,0.0000557933
Sb124n ,0.0000557933
