Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Rh123 ,2.29E-14
Rh124 ,0
Rh125 ,  
Pd99 ,0
Pd101 ,0
Pd102 ,0
Pd103 ,0
Pd104 ,1.18E-14
Pd105 ,1.29E-12
Pd106 ,1.74E-10
Pd107 ,0
Pd107m ,0
Pd108 ,0
Pd109 ,0
Pd109m ,1.21E-14
Pd110 ,6.47E-13
Pd111 ,2.05E-12
Pd111m ,3.81E-12
Pd112 ,0.0000019
Pd113 ,0.00001387
Pd114 ,0.00006805
Pd115 ,0.00006766
Pd116 ,0.00013011
Pd117 ,0.00009542
Pd118 ,0.00005475
Pd119 ,0.00001452
Pd120 ,0.00000262
Pd121 ,0.000000263
Pd122 ,0.0000000189
Pd123 ,6.31E-10
Pd124 ,0
Pd125 ,0
Pd126 ,0
Pd127 ,0
Pd128 ,0
Pd129 ,0
Pd130 ,0
Ag103 ,0
Ag105 ,0
Ag105m ,0
Ag106 ,0
Ag106m ,0
Ag107 ,0
Ag107m ,0
Ag108 ,0
Ag108m ,0
Ag109 ,0
Ag109m ,0
Ag110 ,0
Ag110m ,0
Ag111 ,0
Ag111m ,0
Ag112 ,0.00000000123
Ag113 ,0.00000000781
Ag113m ,0.0000000523
Ag114 ,0.00000102
Ag115 ,0.00000234
Ag115m ,0.00000234
Ag116 ,0.00001167
Ag116m ,0.00001167
Ag117 ,0.00003383
Ag117m ,0.00003383
Ag118 ,0.00004769
Ag118m ,0.00004769
Ag119 ,0.00010366
Ag120 ,0.00002533
Ag120m ,0.00002533
Ag121 ,0.00002392
Ag122 ,0.000002565
Ag122m ,0.000002565
Ag123 ,0.000000832
Ag124 ,3.3E-11
Ag125 ,3.79E-12
Ag126 ,6.21E-13
Ag127 ,8.45E-14
Ag128 ,0
Ag129 ,6.94485E-16
Ag130 ,7.77E-10
Ag131 ,6.5115E-12
Ag132 ,2.25479E-13
Cd105 ,0
Cd106 ,0
Cd107 ,0
Cd108 ,0
Cd109 ,0
Cd110 ,0
Cd111 ,0
Cd111m ,0
Cd112 ,3.8E-14
Cd113 ,1.87E-12
Cd113m ,6.27E-12
Cd114 ,8.39E-10
Cd115 ,0.00000000285
Cd115m ,0.00000000955
Cd116 ,0.000000299
Cd117 ,0.000000566
Cd117m ,0.00000189
Cd118 ,0.00001528
Cd119 ,0.00002115
Cd119m ,0.00002115
Cd120 ,0.00008218
Cd121 ,0.000048535
Cd121m ,0.000048535
Cd122 ,0.00008679
Cd123 ,0.00003782
Cd124 ,0.00000313
Cd125 ,0.000000905
Cd126 ,0.00000061
Cd127 ,0.000000249
Cd128 ,0.000000101
