Product ; High (14 MeV) ; High (14 MeV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Kr94 ; 2.4735E-4 ; 1.58304E-4 ; 4.0524E-4 ; 2.59354E-4
Kr95 ; 3.33082E-5 ; 2.13172E-5 ; 3.72067E-5 ; 2.38123E-5
Kr96 ; 3.43E-6 ; 2.1952E-6 ; 2.62E-6 ; 1.6768E-6
Kr97 ; 2.20921E-7 ; 1.4139E-7 ; 9.18975E-8 ; 5.88144E-8
Kr98 ; 1.09E-8 ; 6.976E-9 ; 2.29E-9 ; 1.4656E-9
Kr99 ; 4.59914E-10 ; 2.94345E-10 ; 1.36074E-11 ; 8.70873E-12
Kr100 ; 6.51E-12 ; 4.1664E-12 ; 2.27E-13 ; 1.4528E-13
Rb79 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Rb81 ; 4.68E-12 ; 2.9952E-12 ; 1.33E-14 ; 8.51201E-15
Rb83 ; 2.22E-8 ; 1.4208E-8 ; 4.43E-10 ; 2.8352E-10
Rb84 ; 6.17E-7 ; 3.9488E-7 ; 2.36E-8 ; 1.5104E-8
Rb85 ; 1.401E-5 ; 8.9664E-6 ; 8.58001E-7 ; 5.4912E-7
Rb86 ; 5.4445E-5 ; 3.48448E-5 ; 1.011E-5 ; 6.4704E-6
Rb86m ; 5.4445E-5 ; 3.48448E-5 ; 1.011E-5 ; 6.4704E-6
Rb87 ; 8.6637E-4 ; 5.54477E-4 ; 1.8156E-4 ; 1.16198E-4
Rb88 ; 0.00399223 ; 0.00255503 ; 0.00114292 ; 7.31469E-4
Rb89 ; 0.0114756 ; 0.0036722 ; 0.00645465 ; 0.00413098
Rb90 ; 0.00243213 ; 0.00155656 ; 0.00255129 ; 0.00163283
Rb90m ; 0.0196789 ; 0.00629726 ; 0.0124556 ; 0.00398579
Rb91 ; 0.0285683 ; 0.00914186 ; 0.0318775 ; 0.0102008
