Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ge86 ; 2.17995E-6 ; 1.39516E-6 ; 4.42E-7 ; 2.8288E-7 ; 2.41E-6 ; 1.5424E-6
Ge87 ; 3.58981E-8 ; 2.29748E-8 ; 1.63996E-8 ; 1.04957E-8 ; 1.59945E-7 ; 1.02365E-7
Ge88 ; 1.05995E-9 ; 6.78369E-10 ; 4.29E-10 ; 2.7456E-10 ; 8.88999E-9 ; 5.6896E-9
Ge89 ; 1.00525E-11 ; 6.43362E-12 ; 5.81742E-12 ; 3.72315E-12 ; 6.39992E-10 ; 4.09595E-10
Ge90 ; 2.39315E-12 ; 1.53161E-12 ; 6.80421E-13 ; 4.3547E-13 ;  ; 
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.77E-13 ; 1.1328E-13
As72 ; 0.0 ; 0.0 ; 1.31E-14 ; 8.384E-15 ; 9.21999E-12 ; 5.9008E-12
As73 ; 5.69986E-13 ; 3.64791E-13 ; 1.59E-12 ; 1.0176E-12 ; 3.03E-10 ; 1.9392E-10
As74 ; 1.01997E-11 ; 6.52784E-12 ; 2.55E-11 ; 1.632E-11 ; 1.22E-9 ; 7.808E-10
As74m ; 2.38994E-11 ; 1.52956E-11 ; 6.9E-11 ; 4.416E-11 ; 5.56E-9 ; 3.5584E-9
As75 ; 2.78993E-9 ; 1.78556E-9 ; 7.54E-9 ; 4.8256E-9 ; 1.12E-7 ; 7.168E-8
As76 ; 5.55986E-8 ; 3.55831E-8 ; 1.55E-7 ; 9.92E-8 ; 1.33E-6 ; 8.512E-7
As77 ; 1.18997E-6 ; 7.61581E-7 ; 2.83E-6 ; 1.8112E-6 ; 1.171E-5 ; 7.4944E-6
As78 ; 1.15797E-5 ; 7.41101E-6 ; 2.014E-5 ; 1.28896E-5 ; 7.337E-5 ; 4.69568E-5
As79 ; 9.52376E-5 ; 6.09521E-5 ; 1.2502E-4 ; 8.00128E-5 ; 3.4067E-4 ; 2.18029E-4
As80 ; 4.1792E-4 ; 2.67468E-4 ; 5.4717E-4 ; 3.50189E-4 ; 0.0011037 ; 7.06368E-4
As81 ; 0.00204937 ; 0.0013116 ; 0.00187076 ; 0.00119729 ; 0.00278651 ; 0.00178337
As82 ; 0.0015874 ; 0.00101594 ; 0.00132574 ; 8.48474E-4 ; 0.00232441 ; 0.00148762
As82m ; 0.0015874 ; 0.00101594 ; 0.00132573 ; 8.48467E-4 ; 0.00232464 ; 0.00148777
As83 ; 0.00456856 ; 0.00292388 ; 0.00335932 ; 0.00214996 ; 0.00532319 ; 0.00340684
As84 ; 7.78315E-4 ; 4.98122E-4 ; 8.7477E-4 ; 5.59853E-4 ; 0.00197383 ; 0.00126325
As84m ; 7.78315E-4 ; 4.98122E-4 ; 8.7477E-4 ; 5.59853E-4 ; 0.00197383 ; 0.00126325
As85 ; 0.00105135 ; 6.72866E-4 ; 7.9111E-4 ; 5.0631E-4 ; 0.00142161 ; 9.0983E-4
As86 ; 4.27509E-4 ; 2.73606E-4 ; 1.5532E-4 ; 9.94048E-5 ; 3.797E-4 ; 2.43008E-4
As87 ; 3.26192E-5 ; 2.08763E-5 ; 2.58E-5 ; 1.6512E-5 ; 6.596E-5 ; 4.22144E-5
As88 ; 2.44994E-6 ; 1.56796E-6 ; 1.83E-6 ; 1.1712E-6 ; 9.64999E-6 ; 6.176E-6
As89 ; 1.56986E-7 ; 1.00471E-7 ; 9.64942E-8 ; 6.17563E-8 ; 8.6036E-7 ; 5.5063E-7
As90 ; 2.73773E-8 ; 1.75215E-8 ; 8.29764E-9 ; 5.31049E-9 ; 8.78739E-9 ; 5.62393E-9
As91 ;  ;  ; 2.25857E-11 ; 1.44548E-11 ; 1.27474E-9 ; 8.15835E-10
As92 ; 1.82384E-12 ; 1.16726E-12 ; 4.92294E-13 ; 3.15068E-13 ; 6.65557E-11 ; 4.25956E-11
As93 ; 3.45025E-12 ; 2.20816E-12 ;  ;  ;  ; 
Se72 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4.32E-14 ; 2.7648E-14
Se73m ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.66E-12 ; 1.7024E-12
Se75 ; 4.95988E-13 ; 3.17432E-13 ; 1.67E-12 ; 1.0688E-12 ; 1.07E-10 ; 6.848E-11
