Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Zn84 ; 2.31994E-10 ; 1.48476E-10 ; 4.86982E-10 ; 3.11669E-10 ; 4.09918E-9 ; 2.62348E-9
Zn85 ; 2.77805E-12 ; 1.77795E-12 ; 5.83299E-12 ; 3.73311E-12 ; 3.59628E-10 ; 2.30162E-10
Zn86 ; 7.03E-14 ; 4.4992E-14 ; 1.5E-13 ; 9.6E-14 ; 1.07E-11 ; 6.848E-12
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga69 ; 0.0 ; 0.0 ; 4.71E-14 ; 3.0144E-14 ; 5.23E-14 ; 3.3472E-14
Ga70 ; 9.55E-14 ; 6.112E-14 ; 2.73E-12 ; 1.7472E-12 ; 1.46E-12 ; 9.344E-13
Ga71 ; 3.01E-12 ; 1.9264E-12 ; 9.21E-11 ; 5.8944E-11 ; 2.59E-11 ; 1.6576E-11
Ga72 ; 6.35E-11 ; 4.064E-11 ; 1.035E-9 ; 6.624E-10 ; 2.095E-10 ; 1.3408E-10
Ga72m ; 6.35E-11 ; 4.064E-11 ; 1.035E-9 ; 6.624E-10 ; 2.095E-10 ; 1.3408E-10
Ga73 ; 2.93E-9 ; 1.8752E-9 ; 2.8E-8 ; 1.792E-8 ; 3.45E-9 ; 2.208E-9
Ga74 ; 1.725E-8 ; 1.104E-8 ; 1.905E-7 ; 1.2192E-7 ; 1.825E-8 ; 1.168E-8
Ga74m ; 1.725E-8 ; 1.104E-8 ; 1.905E-7 ; 1.2192E-7 ; 1.825E-8 ; 1.168E-8
Ga75 ; 2.96E-7 ; 1.8944E-7 ; 1.86E-6 ; 1.1904E-6 ; 9.66E-8 ; 6.1824E-8
Ga76 ; 1.29E-6 ; 8.256E-7 ; 7.9E-6 ; 5.056E-6 ; 7.68E-7 ; 4.9152E-7
Ga77 ; 1.44E-5 ; 9.216E-6 ; 3.705E-5 ; 2.3712E-5 ; 2.753E-5 ; 1.76192E-5
Ga78 ; 3.5E-5 ; 2.24E-5 ; 7.401E-5 ; 4.73664E-5 ; 8.363E-5 ; 5.35232E-5
Ga79 ; 3.125E-5 ; 2.0E-5 ; 1.4355E-4 ; 9.1872E-5 ; 1.3435E-4 ; 8.5984E-5
Ga80 ; 3.833E-5 ; 2.45312E-5 ; 1.1194E-4 ; 7.16416E-5 ; 1.5E-4 ; 9.6E-5
Ga81 ; 3.15E-5 ; 2.016E-5 ; 7.52E-5 ; 4.8128E-5 ; 1.1089E-4 ; 7.09696E-5
Ga82 ; 1.099E-5 ; 7.0336E-6 ; 2.425E-5 ; 1.552E-5 ; 5.081E-5 ; 3.25184E-5
Ga83 ; 4.29E-6 ; 2.7456E-6 ; 6.36E-6 ; 4.0704E-6 ; 1.859E-5 ; 1.18976E-5
Ga84 ; 6.2E-7 ; 3.968E-7 ; 1.05E-6 ; 6.72E-7 ; 2.86E-6 ; 1.8304E-6
Ga85 ; 6.09972E-8 ; 3.90382E-8 ; 8.37942E-8 ; 5.36283E-8 ; 9.45641E-7 ; 6.0521E-7
