Product ; Th227  Thermal (0.0253 eV) ; Th227  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th232  Fast (500 keV) ; Th232  Fast (500 keV) ; Th232  High (14 MeV) ; Th232  High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Cu70m ; 9.71001E-9 ; 6.21441E-9 ; 2.83001E-9 ; 1.81121E-9 ; 3.91991E-8 ; 2.50874E-8 ; 2.01E-6 ; 1.2864E-6
Cu71 ; 6.54001E-8 ; 4.1856E-8 ; 4.88003E-8 ; 3.12322E-8 ; 4.08991E-7 ; 2.61754E-7 ; 1.191E-5 ; 7.6224E-6
Cu72 ; 1.53E-7 ; 9.79201E-8 ; 2.01001E-7 ; 1.28641E-7 ; 1.78996E-6 ; 1.14557E-6 ; 3.328E-5 ; 2.12992E-5
Cu73 ; 1.68E-7 ; 1.0752E-7 ; 6.60003E-7 ; 4.22402E-7 ; 3.79991E-6 ; 2.43195E-6 ; 9.389E-5 ; 6.00896E-5
Cu74 ; 9.47001E-8 ; 6.06081E-8 ; 7.49004E-7 ; 4.79363E-7 ; 5.58987E-6 ; 3.57752E-6 ; 1.6958E-4 ; 1.08531E-4
Cu75 ; 9.42001E-8 ; 6.02881E-8 ; 1.20001E-6 ; 7.68004E-7 ; 8.41981E-6 ; 5.38868E-6 ; 2.0044E-4 ; 1.28282E-4
Cu76 ; 2.53E-8 ; 1.6192E-8 ; 7.30004E-7 ; 4.67202E-7 ; 6.81985E-6 ; 4.3647E-6 ; 1.5384E-4 ; 9.84576E-5
Cu77 ; 9.43001E-9 ; 6.03521E-9 ; 4.81003E-7 ; 3.07842E-7 ; 3.42992E-6 ; 2.19515E-6 ; 6.587E-5 ; 4.21568E-5
Cu78 ; 6.72001E-10 ; 4.3008E-10 ; 1.35001E-7 ; 8.64005E-8 ; 1.54997E-6 ; 9.91978E-7 ; 2.407E-5 ; 1.54048E-5
Cu79 ; 3.75997E-10 ; 2.40638E-10 ; 1.98994E-8 ; 1.27356E-8 ; 3.2382E-7 ; 2.07245E-7 ; 5.17422E-6 ; 3.3115E-6
Cu80 ; 9.89001E-12 ; 6.32961E-12 ; 7.74004E-10 ; 4.95363E-10 ; 3.44992E-8 ; 2.20795E-8 ; 7.71E-7 ; 4.9344E-7
Cu81 ; 2.02E-13 ; 1.2928E-13 ; 5.02003E-11 ; 3.21282E-11 ; 2.98988E-9 ; 1.91353E-9 ; 7.18846E-8 ; 4.60061E-8
Cu82 ; 0.0 ; 0.0 ; 8.80005E-13 ; 5.63203E-13 ; 9.09979E-11 ; 5.82387E-11 ; 4.2E-9 ; 2.688E-9
Cu83 ;  ;  ; 1.96928E-14 ; 1.26034E-14 ; 1.06631E-12 ; 6.82436E-13 ; 8.91699E-11 ; 5.70687E-11
Cu84 ;  ;  ;  ;  ; 3.25528E-14 ; 2.08338E-14 ; 3.236E-12 ; 2.07104E-12
Zn66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.2E-14 ; 1.408E-14
Zn67 ; 5.02E-14 ; 3.2128E-14 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.24E-12 ; 7.936E-13
Zn68 ; 4.04E-12 ; 2.5856E-12 ; 4.96003E-13 ; 3.17442E-13 ; 3.29993E-13 ; 2.11195E-13 ; 7.07E-11 ; 4.5248E-11
Zn69 ; 2.61E-11 ; 1.6704E-11 ; 4.05002E-12 ; 2.59201E-12 ; 2.94993E-12 ; 1.88796E-12 ; 2.21E-10 ; 1.4144E-10
