Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Kr81m ; 4.19E-12 ; 2.6816E-12 ; 1.13E-12 ; 7.232E-13
Kr82 ; 2.7E-9 ; 1.728E-9 ; 6.49E-10 ; 4.1536E-10
Kr83 ; 7.23999E-8 ; 4.6336E-8 ; 1.95E-8 ; 1.248E-8
Kr83m ; 1.7E-8 ; 1.088E-8 ; 3.99E-9 ; 2.5536E-9
Kr84 ; 2.34E-6 ; 1.4976E-6 ; 7.54E-7 ; 4.8256E-7
Kr85 ; 2.378E-5 ; 1.52192E-5 ; 1.022E-5 ; 6.5408E-6
Kr85m ; 5.58E-6 ; 3.5712E-6 ; 2.09E-6 ; 1.3376E-6
Kr86 ; 2.4461E-4 ; 1.5655E-4 ; 1.2653E-4 ; 8.09792E-5
Kr87 ; 0.00107532 ; 1.18285E-4 ; 8.4373E-4 ; 5.39987E-4
Kr88 ; 0.00393616 ; 4.32977E-4 ; 0.00301471 ; 0.00192941
Kr89 ; 0.00725839 ; 5.80672E-4 ; 0.00729576 ; 0.00466929
Kr90 ; 0.0100486 ; 6.02914E-4 ; 0.0114778 ; 0.0036729
Kr91 ; 0.00924664 ; 3.69866E-4 ; 0.0113681 ; 0.00363779
Kr92 ; 0.00613303 ; 4.90642E-4 ; 0.00881183 ; 0.00563957
Kr93 ; 0.0019871 ; 2.18581E-4 ; 0.0035782 ; 0.00229005
Kr94 ; 6.0347E-4 ; 3.86221E-4 ; 0.00100077 ; 6.40493E-4
Kr95 ; 9.47725E-5 ; 6.06544E-5 ; 1.57326E-4 ; 1.00689E-4
Kr96 ; 9.52999E-6 ; 6.0992E-6 ; 1.843E-5 ; 1.17952E-5
Kr97 ; 5.54986E-7 ; 3.55191E-7 ; 1.19996E-6 ; 7.67977E-7
Kr98 ; 1.99995E-8 ; 1.27997E-8 ; 5.89985E-8 ; 3.7759E-8
Kr99 ; 3.33478E-11 ; 2.13426E-11 ; 7.0668E-11 ; 4.52275E-11
Kr100 ; 6.91999E-12 ; 4.4288E-12 ; 2.54E-11 ; 1.6256E-11
Kr101 ; 5.28144E-13 ; 3.38012E-13 ; 1.42754E-12 ; 9.13628E-13
Rb79 ; 0.0 ; 0.0 ; 0.0 ; 0.0
