Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ga70 ; 8.68E-13 ; 5.5552E-13 ; 1.33E-11 ; 8.512E-12 ; 2.17061E-8 ; 1.38919E-8
Ga71 ; 4.21E-11 ; 2.6944E-11 ; 4.23E-10 ; 2.7072E-10 ; 2.81079E-7 ; 1.79891E-7
Ga72 ; 4.36E-10 ; 2.7904E-10 ; 4.26E-9 ; 2.7264E-9 ; 1.16533E-6 ; 7.4581E-7
Ga72m ; 4.36E-10 ; 2.7904E-10 ; 4.26E-9 ; 2.7264E-9 ; 1.16533E-6 ; 7.4581E-7
Ga73 ; 1.87E-8 ; 1.1968E-8 ; 1.15E-7 ; 7.36E-8 ; 1.4154E-5 ; 9.05855E-6
Ga74 ; 1.075E-7 ; 6.88E-8 ; 3.805E-7 ; 2.4352E-7 ; 2.96033E-5 ; 1.89461E-5
Ga74m ; 1.075E-7 ; 6.88E-8 ; 3.805E-7 ; 2.4352E-7 ; 2.96033E-5 ; 1.89461E-5
Ga75 ; 1.2E-6 ; 7.68E-7 ; 3.81E-6 ; 2.4384E-6 ; 1.65667E-4 ; 1.06027E-4
Ga76 ; 8.49E-6 ; 5.4336E-6 ; 3.034E-5 ; 1.94176E-5 ; 3.59081E-4 ; 2.29812E-4
Ga77 ; 2.876E-5 ; 1.84064E-5 ; 6.477E-5 ; 4.14528E-5 ; 5.6803E-4 ; 3.63539E-4
Ga78 ; 6.916E-5 ; 4.42624E-5 ; 1.3155E-4 ; 8.4192E-5 ; 6.02319E-4 ; 3.85484E-4
Ga79 ; 9.994E-5 ; 6.39616E-5 ; 1.8707E-4 ; 1.19725E-4 ; 4.79445E-4 ; 3.06845E-4
Ga80 ; 4.603E-5 ; 2.94592E-5 ; 1.5689E-4 ; 1.0041E-4 ; 2.51171E-4 ; 1.60749E-4
Ga81 ; 4.704E-5 ; 3.01056E-5 ; 8.779E-5 ; 5.61856E-5 ; 9.21759E-5 ; 5.89926E-5
Ga82 ; 9.46E-6 ; 6.0544E-6 ; 2.188E-5 ; 1.40032E-5 ; 2.34366E-5 ; 1.49994E-5
Ga83 ; 1.78E-6 ; 1.1392E-6 ; 2.83E-6 ; 1.8112E-6 ; 3.53099E-6 ; 2.25984E-6
Ga84 ; 1.07E-7 ; 6.848E-8 ; 2.49E-7 ; 1.5936E-7 ; 3.47098E-7 ; 2.22142E-7
Ga85 ; 8.06975E-9 ; 5.16464E-9 ; 1.16988E-8 ; 7.48725E-9 ; 2.62022E-8 ; 1.67694E-8
Ga86 ; 1.49E-10 ; 9.536E-11 ; 3.65E-10 ; 2.336E-10 ; 1.04029E-9 ; 6.65787E-10
Ga87 ; 1.62471E-12 ; 1.03982E-12 ; 4.97433E-12 ; 3.18357E-12 ; 2.60533E-11 ; 1.66741E-11
Ga88 ; 6.38506E-14 ; 4.08644E-14 ; 1.35582E-13 ; 8.67725E-14 ; 1.54733E-12 ; 9.90291E-13
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.75049E-13 ; 1.12031E-13
Ge70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 8.69244E-12 ; 5.56316E-12
Ge71 ; 0.0 ; 0.0 ; 1.08E-13 ; 6.912E-14 ; 1.56044E-10 ; 9.98681E-11
Ge71m ; 0.0 ; 0.0 ; 1.08E-13 ; 6.912E-14 ; 1.56044E-10 ; 9.98681E-11
Ge72 ; 7.19E-13 ; 4.6016E-13 ; 1.33E-11 ; 8.512E-12 ; 7.08199E-9 ; 4.53247E-9
Ge73 ; 3.21E-11 ; 2.0544E-11 ; 4.44E-10 ; 2.8416E-10 ; 1.03029E-7 ; 6.59385E-8
Ge73m ; 7.54E-12 ; 4.8256E-12 ; 9.09E-11 ; 5.8176E-11 ; 1.27036E-8 ; 8.13029E-9
Ge74 ; 1.91E-9 ; 1.2224E-9 ; 1.04E-8 ; 6.656E-9 ; 1.27036E-6 ; 8.13029E-7
Ge75 ; 3.43E-9 ; 2.1952E-9 ; 1.76E-8 ; 1.1264E-8 ; 7.24204E-7 ; 4.6349E-7
Ge75m ; 2.3E-8 ; 1.472E-8 ; 1.29E-7 ; 8.256E-8 ; 8.33234E-6 ; 5.3327E-6
