Product , Th232  Fast (500 keV) 
Product ,  
Product , Yield 
Sb122m ,2.68994E-11
Sb123 ,0.00000000181996
Sb124 ,0.0000000137997
Sb124m ,0.0000000137997
Sb124n ,0.0000000137997
Sb125 ,0.00000089398
Sb126 ,0.0000000695984
Sb126m ,0.0000000480489
Sb126n ,0.0000000480489
Sb127 ,0.00000203995
Sb128 ,0.0000223395
Sb128m ,0.0000086498
Sb129 ,0.0000790282
Sb130 ,0.000294573
Sb130m ,0.000406791
Sb131 ,0.00389329
Sb132 ,0.00506379
Sb132m ,0.0044855
Sb133 ,0.0224118
Sb134 ,0.00908465
Sb134m ,0.00908465
Sb135 ,0.00954165
Sb136 ,0.00193875
Sb137 ,0.000147097
Sb138 ,0.0000345592
Sb139 ,0.00000185993
Sb140 ,0.0000000590713
Sb141 ,0.0000000156438
Sb142 ,5.56489E-12
Sb143 ,4.06715E-13
Te115 ,0
Te117 ,0
Te118 ,0
Te119 ,0
Te120 ,0
Te121 ,0
Te121m ,0
Te122 ,0
Te123 ,1.34997E-14
Te123m ,5.08989E-14
Te124 ,7.28984E-12
Te125 ,1.20997E-10
Te125m ,4.5399E-10
Te126 ,1.53997E-13
Te127 ,1.64996E-12
Te127m ,4.68989E-12
Te128 ,2.47994E-10
Te129 ,0.00000000167996
Te129m ,0.00000000478989
Te130 ,0.000000254994
Te131 ,0.0000383091
Te131m ,0.000109038
Te132 ,0.003466
Te133 ,0.00295736
Te133m ,0.00845549
Te134 ,0.0311429
Te135 ,0.037851
Te136 ,0.0343629
Te137 ,0.00752594
Te138 ,0.00754581
Te139 ,0.00131162
Te140 ,0.000194757
Te141 ,0.0000438068
Te142 ,0.000000611981
Te143 ,0.0000000379886
Te144 ,1.33804E-11
Te145 ,1.12871E-12
Te146 ,7.63932E-14
I121 ,0
I123 ,0
I125 ,0
I126 ,0
I127 ,0
I128 ,0
I129 ,0
I130 ,1.15997E-14
I130m ,0
I131 ,0.000000197996
I132 ,0.000487254
I132m ,0.000487254
I133 ,0.0000801082
I133m ,0.0000801082
I134 ,0.000704874
I134m ,0.000621406
I135 ,0.0083893
