Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Tc100 ; 6.66E-7 ; 4.2624E-7
Tc101 ; 9.98E-10 ; 6.3872E-10
Tc102 ; 5.1E-9 ; 3.264E-9
Tc102m ; 5.1E-9 ; 3.264E-9
Tc103 ; 1.03E-7 ; 6.592E-8
Tc104 ; 5.91E-7 ; 3.7824E-7
Tc105 ; 3.76E-6 ; 2.4064E-6
Tc106 ; 1.3395E-4 ; 8.5728E-5
Tc107 ; 3.7564E-4 ; 2.4041E-4
Tc108 ; 4.8819E-4 ; 3.12442E-4
Tc109 ; 4.412E-4 ; 2.82368E-4
Tc110 ; 1.9596E-4 ; 1.25414E-4
Tc111 ; 8.205E-5 ; 5.2512E-5
Tc112 ; 9.45E-6 ; 6.048E-6
Tc113 ; 1.50864E-6 ; 9.6553E-7
Tc114 ; 8.2E-8 ; 5.248E-8
Tc115 ; 4.17927E-9 ; 2.67473E-9
Tc116 ; 1.38E-10 ; 8.832E-11
Tc117 ; 9.84853E-13 ; 6.30306E-13
Tc118 ; 3.75789E-14 ; 2.40505E-14
Tc119 ; 8.76712E-16 ; 5.61096E-16
Ru95 ; 0.0 ; 0.0
Ru96 ; 0.0 ; 0.0
Ru97 ; 0.0 ; 0.0
Ru98 ; 0.0 ; 0.0
Ru99 ; 8.78E-13 ; 5.6192E-13
Ru100 ; 6.64E-11 ; 4.2496E-11
Ru101 ; 0.0 ; 0.0
Ru102 ; 0.0 ; 0.0
Ru103 ; 1.04E-14 ; 6.656E-15
Ru104 ; 3.12E-13 ; 1.9968E-13
Ru105 ; 1.12E-11 ; 7.168E-12
Ru106 ; 1.73E-6 ; 1.1072E-6
Ru107 ; 2.025E-5 ; 1.296E-5
Ru108 ; 9.591E-5 ; 6.13824E-5
Ru109 ; 1.4419E-4 ; 9.22816E-5
Ru109m ; 1.4419E-4 ; 9.22816E-5
Ru110 ; 4.1752E-4 ; 2.67213E-4
Ru111 ; 5.5976E-4 ; 3.58246E-4
Ru112 ; 2.0802E-4 ; 1.33133E-4
Ru113 ; 1.1039E-4 ; 7.06496E-5
Ru114 ; 2.038E-5 ; 1.30432E-5
Ru115 ; 4.63582E-6 ; 2.96693E-6
Ru116 ; 3.8E-7 ; 2.432E-7
Ru117 ; 2.5499E-8 ; 1.63194E-8
Ru118 ; 9.72962E-10 ; 6.22696E-10
Ru119 ; 2.26991E-11 ; 1.45274E-11
